	F01	F02	F03	F04	F05	F06
GO:0008104	3	4	3	8	9	15
GO:0008106	0	0	0	1	2	3
GO:0008107	0	0	0	0	1	1
GO:0008108	3	2	4	6	9	11
GO:0008110	1	0	0	0	0	0
GO:0008111	2	4	6	7	6	13
GO:0008113	13	17	8	15	10	11
GO:0008115	28	31	19	18	15	18
GO:0008117	1	1	1	6	1	6
GO:0008119	1	1	1	0	0	0
GO:0008121	22	16	14	11	9	4
GO:0008124	5	12	10	12	7	2
GO:0008126	14	5	4	6	9	10
GO:0008127	6	10	3	7	3	3
GO:0008131	2	1	0	1	0	0
GO:0008134	85	117	98	268	165	148
GO:0008137	157	200	158	317	317	350
GO:0008138	9	5	3	4	3	5
GO:0008140	0	0	1	1	1	0
GO:0008143	3	0	0	8	13	15
GO:0008144	0	1	1	4	4	2
GO:0008146	7	1	1	4	3	2
GO:0008152	6	10	18	57	76	102
GO:0008153	4	2	3	2	4	3
GO:0008156	0	0	0	1	0	0
GO:0008157	0	0	0	0	0	1
GO:0008168	155	188	164	375	397	509
GO:0008170	7	19	15	57	38	30
GO:0008171	17	19	8	25	17	17
GO:0008173	19	19	13	39	40	32
GO:0008175	9	8	5	9	4	12
GO:0008176	5	6	6	5	5	6
GO:0008177	13	20	16	40	32	18
GO:0008180	0	0	0	1	0	0
GO:0008184	1	2	4	11	9	8
GO:0008186	6	8	13	22	30	31
GO:0008194	0	0	3	6	4	6
GO:0008195	0	0	0	1	1	0
GO:0008198	49	38	24	33	26	24
GO:0008199	11	13	8	22	22	29
GO:0008201	0	0	0	0	0	1
GO:0008202	13	10	4	11	11	5
GO:0008203	8	7	8	14	10	16
GO:0008205	1	0	0	0	0	1
GO:0008206	3	4	4	6	12	21
GO:0008207	3	3	3	4	1	1
GO:0008209	4	4	4	3	1	1
GO:0008210	4	3	4	3	1	1
GO:0008217	0	0	0	2	2	1
GO:0008218	5	3	2	3	2	3
GO:0008219	3	1	0	5	4	8
GO:0008228	0	1	0	0	0	0
GO:0008233	83	93	99	168	144	157
GO:0008234	9	7	9	17	13	21
GO:0008235	19	32	23	43	40	30
GO:0008236	35	39	51	96	98	105
GO:0008237	102	134	124	269	278	384
GO:0008238	0	0	0	0	1	0
GO:0008239	5	22	23	46	27	25
GO:0008240	0	0	0	1	1	0
GO:0008241	0	1	2	3	3	0
GO:0008242	0	2	0	2	1	1
GO:0008247	0	1	0	0	0	0
GO:0008250	0	0	0	1	1	2
GO:0008252	1	2	1	2	5	6
GO:0008253	15	14	16	30	32	37
GO:0008254	0	0	0	4	7	4
GO:0008258	0	0	0	1	0	0
GO:0008260	0	2	1	4	5	7
GO:0008263	1	4	0	0	1	1
GO:0008265	2	0	1	2	0	0
GO:0008266	1	2	3	2	3	1
GO:0008270	726	764	629	1429	1447	1880
GO:0008271	2	9	6	6	11	6
GO:0008272	0	0	0	2	0	0
GO:0008273	4	3	1	2	6	14
GO:0008276	21	19	16	34	19	23
GO:0008283	0	0	1	4	2	3
GO:0008284	11	14	6	11	16	8
GO:0008285	2	4	4	12	6	4
GO:0008286	1	1	0	3	1	0
GO:0008289	19	27	22	45	52	88
GO:0008292	2	1	2	4	1	0
GO:0008294	0	1	0	0	0	0
GO:0008295	30	32	12	35	33	42
GO:0008296	2	2	1	2	2	3
GO:0008299	41	30	33	74	66	95
GO:0008300	1	1	1	1	0	0
GO:0008305	0	1	0	1	0	1
GO:0008306	0	1	2	2	0	0
GO:0008307	0	0	0	1	0	0
GO:0008310	2	2	3	3	1	1
GO:0008312	14	14	9	27	32	36
GO:0008320	41	39	36	62	71	96
GO:0008324	58	70	53	89	93	113
GO:0008327	0	0	1	0	0	0
GO:0008330	1	0	0	0	0	1
GO:0008333	0	0	0	0	1	2
GO:0008336	3	0	1	0	0	0
GO:0008340	2	1	2	3	5	2
GO:0008344	0	0	0	0	1	0
GO:0008347	0	0	0	0	1	1
GO:0008354	0	0	0	1	0	2
GO:0008355	2	1	0	2	0	1
GO:0008356	5	7	4	12	5	10
GO:0008360	342	356	306	547	520	625
GO:0008361	1	1	1	1	0	0
GO:0008364	1	0	0	0	0	0
GO:0008374	0	2	2	3	4	3
GO:0008375	11	30	21	45	46	68
GO:0008379	22	14	13	19	19	13
GO:0008380	1	0	0	1	2	1
GO:0008381	7	7	7	13	5	11
GO:0008391	0	0	1	0	0	0
GO:0008395	2	1	0	1	0	0
GO:0008406	0	0	0	1	1	2
GO:0008408	83	92	77	164	132	162
GO:0008409	26	28	17	51	51	67
GO:0008410	38	46	33	50	56	58
GO:0008412	8	8	6	6	5	2
GO:0008413	6	5	6	10	6	3
GO:0008422	1	2	1	5	15	20
GO:0008425	18	20	18	37	31	38
GO:0008428	1	1	1	0	1	0
GO:0008430	3	3	1	4	5	3
GO:0008441	15	11	14	20	25	26
GO:0008442	2	4	0	2	3	2
GO:0008443	0	0	1	0	1	6
GO:0008444	9	19	16	17	10	20
GO:0008445	0	1	0	0	0	0
GO:0008446	5	10	4	18	14	17
GO:0008448	0	2	0	5	11	20
GO:0008449	0	0	0	2	1	3
GO:0008452	8	11	6	14	25	26
GO:0008453	15	19	14	38	38	38
GO:0008456	0	0	0	1	2	0
GO:0008460	5	12	8	16	15	18
GO:0008463	0	0	0	0	1	0
GO:0008465	12	12	9	12	13	15
GO:0008467	0	0	0	0	0	1
GO:0008469	0	0	1	2	2	1
GO:0008470	5	4	5	4	2	1
GO:0008474	7	7	5	11	4	5
GO:0008476	0	0	1	0	0	0
GO:0008477	6	4	8	8	8	4
GO:0008478	2	0	0	1	1	1
GO:0008479	9	12	10	22	27	32
GO:0008480	5	8	6	5	2	3
GO:0008482	4	14	8	3	2	2
GO:0008483	116	140	103	173	175	197
GO:0008484	19	17	11	50	53	71
GO:0008488	0	1	0	0	0	0
GO:0008495	12	13	9	14	13	9
GO:0008504	1	0	0	0	0	0
GO:0008507	0	0	0	1	0	0
GO:0008509	2	0	2	7	2	1
GO:0008519	23	19	12	17	9	6
GO:0008520	0	0	0	2	3	0
GO:0008523	0	0	0	0	0	1
GO:0008526	0	0	0	0	0	2
GO:0008531	13	15	11	21	22	33
GO:0008534	16	15	6	14	18	34
GO:0008535	8	6	4	3	1	1
GO:0008541	0	0	0	1	0	0
GO:0008542	1	0	1	1	3	0
GO:0008543	0	0	0	0	1	0
GO:0008544	1	0	1	3	0	2
GO:0008551	1	5	3	6	10	9
GO:0008553	2	2	5	4	9	14
GO:0008554	7	9	10	24	15	15
GO:0008559	17	43	40	80	69	62
GO:0008568	0	0	0	1	0	1
GO:0008582	0	0	0	0	1	1
GO:0008584	0	0	1	1	4	1
GO:0008589	0	1	0	1	0	0
GO:0008603	6	8	4	17	12	6
GO:0008607	1	0	0	2	0	2
GO:0008609	1	2	3	8	7	8
GO:0008610	16	16	14	16	7	12
GO:0008611	2	2	3	8	8	9
GO:0008612	6	6	5	8	10	14
GO:0008614	1	1	1	1	0	1
GO:0008615	37	33	26	42	36	30
GO:0008616	40	58	45	119	114	147
GO:0008631	0	0	0	0	1	1
GO:0008637	2	5	3	1	0	0
GO:0008641	13	20	14	35	32	54
GO:0008643	82	84	64	188	323	468
GO:0008645	0	0	0	1	1	0
GO:0008649	1	2	2	0	0	1
GO:0008650	7	9	5	7	8	10
GO:0008652	163	144	126	246	318	389
GO:0008653	4	3	4	2	2	3
GO:0008654	103	143	98	227	255	376
GO:0008655	2	2	6	6	5	4
GO:0008657	1	1	0	2	3	2
GO:0008658	51	55	50	99	83	91
GO:0008659	18	24	20	35	32	39
GO:0008660	2	4	3	1	1	2
GO:0008661	8	6	5	20	17	33
GO:0008662	0	0	2	3	1	5
GO:0008663	4	6	5	16	20	29
GO:0008664	12	8	8	22	26	26
GO:0008666	3	10	4	3	2	1
GO:0008667	0	0	0	0	0	1
GO:0008668	0	1	1	1	3	1
GO:0008670	1	1	2	3	2	2
GO:0008671	0	0	1	7	11	15
GO:0008672	3	1	2	3	6	7
GO:0008673	1	0	3	4	10	10
GO:0008674	0	0	0	0	1	0
GO:0008675	3	2	0	4	13	14
GO:0008676	6	10	6	14	11	9
GO:0008677	24	23	10	21	34	27
GO:0008678	1	2	2	8	12	19
GO:0008679	5	8	3	8	13	9
GO:0008681	8	2	3	0	0	0
GO:0008682	5	5	6	3	0	2
GO:0008683	0	0	0	0	0	1
GO:0008684	4	1	0	3	2	3
GO:0008685	7	12	10	19	12	25
GO:0008686	13	17	11	17	22	29
GO:0008687	0	0	1	0	0	0
GO:0008688	0	1	2	0	0	0
GO:0008689	18	20	18	37	31	38
GO:0008690	10	13	5	15	10	11
GO:0008691	5	10	13	39	41	44
GO:0008692	9	9	6	18	13	9
GO:0008693	18	24	20	35	32	39
GO:0008694	14	20	7	8	10	5
GO:0008695	4	4	1	2	2	0
GO:0008696	6	3	4	2	3	2
GO:0008697	0	0	0	2	2	1
GO:0008700	3	7	4	16	24	28
GO:0008701	0	1	0	1	3	4
GO:0008703	10	16	14	21	21	29
GO:0008704	1	0	0	0	0	0
GO:0008705	20	26	30	80	93	111
GO:0008706	0	0	0	2	1	6
GO:0008707	0	0	0	1	0	1
GO:0008709	5	4	3	6	4	2
GO:0008710	13	16	17	27	27	35
GO:0008712	3	6	1	3	1	1
GO:0008713	13	22	15	34	20	24
GO:0008714	8	4	8	7	9	9
GO:0008716	14	20	14	31	27	37
GO:0008718	11	10	6	3	2	1
GO:0008719	1	0	0	1	0	0
GO:0008720	12	11	5	17	13	9
GO:0008721	4	3	4	7	2	2
GO:0008725	11	17	14	31	22	20
GO:0008726	1	1	0	0	1	3
GO:0008727	0	0	0	0	1	0
GO:0008728	16	14	12	20	16	25
GO:0008730	7	10	3	20	29	43
GO:0008732	11	10	12	17	25	27
GO:0008733	0	0	0	0	5	6
GO:0008734	6	11	11	14	21	21
GO:0008736	0	1	1	2	2	4
GO:0008738	2	0	2	5	3	14
GO:0008740	0	0	0	0	3	0
GO:0008741	0	0	0	2	5	6
GO:0008742	1	0	1	1	3	9
GO:0008743	8	12	5	21	25	40
GO:0008744	0	0	0	1	1	2
GO:0008745	18	23	29	40	29	35
GO:0008746	0	1	2	2	2	0
GO:0008748	1	0	1	1	0	1
GO:0008750	16	22	18	15	10	8
GO:0008752	0	4	1	0	0	0
GO:0008753	9	4	5	8	14	15
GO:0008756	2	5	4	3	3	4
GO:0008757	16	20	22	33	22	31
GO:0008758	10	9	10	15	16	12
GO:0008759	10	16	10	13	15	12
GO:0008760	12	13	14	22	20	22
GO:0008761	3	7	5	10	8	19
GO:0008762	14	11	16	22	23	22
GO:0008763	15	12	15	26	22	24
GO:0008764	15	17	12	22	22	27
GO:0008765	12	12	8	12	14	18
GO:0008766	16	17	11	22	26	29
GO:0008767	0	0	0	0	0	2
GO:0008768	1	0	2	1	0	0
GO:0008770	1	1	0	0	1	1
GO:0008772	2	3	2	2	0	0
GO:0008773	9	10	12	5	2	3
GO:0008774	2	4	3	7	9	6
GO:0008775	4	8	5	26	20	21
GO:0008776	3	5	3	6	4	9
GO:0008777	8	9	2	8	3	5
GO:0008779	5	9	3	3	7	6
GO:0008780	9	14	11	21	15	12
GO:0008781	0	2	3	3	6	6
GO:0008782	3	4	3	8	5	6
GO:0008783	21	15	14	19	20	21
GO:0008784	14	10	12	24	25	24
GO:0008785	0	1	0	6	8	16
GO:0008786	0	7	7	6	8	16
GO:0008789	1	0	0	7	17	18
GO:0008791	1	2	0	0	0	0
GO:0008792	4	6	3	10	8	5
GO:0008794	3	1	6	0	2	0
GO:0008795	13	14	12	28	29	34
GO:0008797	3	2	0	6	7	3
GO:0008798	4	6	6	6	3	4
GO:0008800	11	13	7	17	19	21
GO:0008801	0	1	1	2	4	4
GO:0008802	11	8	7	2	1	0
GO:0008803	5	4	4	2	0	0
GO:0008804	0	4	8	15	20	21
GO:0008806	15	12	13	6	1	2
GO:0008807	2	0	1	1	0	1
GO:0008808	13	10	8	10	7	4
GO:0008810	0	1	0	3	3	5
GO:0008811	0	0	0	1	2	0
GO:0008812	8	7	2	0	1	0
GO:0008813	2	1	0	0	0	0
GO:0008814	0	0	1	1	0	0
GO:0008815	7	3	5	7	12	12
GO:0008816	7	3	4	6	12	12
GO:0008817	8	5	8	30	31	36
GO:0008818	2	1	0	6	9	12
GO:0008820	3	1	2	8	13	19
GO:0008821	11	17	17	27	26	33
GO:0008823	9	6	5	5	1	1
GO:0008824	0	2	0	0	0	0
GO:0008825	2	2	2	2	6	7
GO:0008827	0	1	0	1	1	0
GO:0008828	3	3	3	1	4	2
GO:0008829	6	9	8	15	5	5
GO:0008830	3	10	8	13	13	18
GO:0008831	4	7	1	9	12	16
GO:0008832	6	5	2	8	6	12
GO:0008833	4	6	8	12	11	12
GO:0008834	5	5	3	3	2	4
GO:0008835	9	14	10	17	17	24
GO:0008836	13	14	8	15	20	29
GO:0008837	9	10	9	13	17	23
GO:0008838	2	2	3	4	3	1
GO:0008839	13	19	20	24	34	51
GO:0008840	17	25	15	29	44	56
GO:0008841	5	8	9	15	15	23
GO:0008843	0	1	0	0	0	0
GO:0008849	0	0	1	0	1	0
GO:0008851	0	0	1	1	2	2
GO:0008852	5	4	5	18	20	30
GO:0008853	11	10	7	6	10	6
GO:0008854	0	0	0	10	5	1
GO:0008855	19	17	20	38	39	43
GO:0008859	6	8	5	9	9	2
GO:0008860	4	2	3	2	0	0
GO:0008863	17	19	17	55	88	112
GO:0008864	4	2	1	3	1	1
GO:0008865	3	5	1	6	6	9
GO:0008867	1	4	0	5	8	7
GO:0008868	0	0	0	2	5	10
GO:0008869	7	2	4	13	8	9
GO:0008870	0	0	0	5	3	5
GO:0008872	0	0	0	1	1	0
GO:0008874	7	3	3	5	12	6
GO:0008876	3	1	3	3	1	1
GO:0008877	3	2	3	3	5	4
GO:0008878	7	6	3	5	9	7
GO:0008879	6	10	5	17	18	32
GO:0008880	0	5	3	5	8	6
GO:0008881	3	3	4	13	18	27
GO:0008882	7	11	4	10	6	3
GO:0008883	15	12	10	22	18	18
GO:0008886	0	0	0	0	0	1
GO:0008887	8	8	12	27	28	40
GO:0008888	1	0	1	8	10	17
GO:0008889	9	8	9	15	14	17
GO:0008890	9	10	13	29	29	35
GO:0008891	9	20	17	37	40	53
GO:0008892	3	1	2	1	2	0
GO:0008893	8	11	5	4	4	1
GO:0008894	0	0	2	2	1	0
GO:0008897	12	14	8	16	21	29
GO:0008898	5	4	5	5	2	2
GO:0008899	3	4	3	0	0	0
GO:0008901	0	4	5	7	57	96
GO:0008902	8	11	4	17	11	11
GO:0008903	3	2	1	4	7	7
GO:0008906	0	0	0	1	1	2
GO:0008907	0	0	1	0	0	0
GO:0008908	1	3	1	3	2	2
GO:0008909	2	4	3	5	0	1
GO:0008910	0	0	0	1	0	0
GO:0008911	1	3	0	5	4	4
GO:0008913	7	11	6	4	0	0
GO:0008914	9	9	7	7	5	4
GO:0008915	8	8	10	17	14	13
GO:0008917	0	0	0	1	0	0
GO:0008919	2	2	2	3	1	2
GO:0008920	4	5	1	10	5	2
GO:0008922	5	9	3	3	7	9
GO:0008923	6	2	0	1	0	1
GO:0008925	0	0	2	1	0	0
GO:0008926	0	0	0	1	7	7
GO:0008927	0	1	0	6	2	7
GO:0008928	0	1	0	3	2	2
GO:0008929	0	0	1	1	3	3
GO:0008930	3	4	3	8	5	6
GO:0008932	21	29	25	37	32	31
GO:0008933	44	38	34	51	58	37
GO:0008934	18	22	10	27	20	24
GO:0008935	4	3	6	8	4	4
GO:0008936	3	4	4	5	7	5
GO:0008939	4	2	2	9	10	15
GO:0008940	17	36	24	42	25	17
GO:0008941	6	4	1	1	1	0
GO:0008948	18	22	22	27	44	47
GO:0008949	0	0	0	1	0	1
GO:0008951	3	2	0	4	2	1
GO:0008953	5	5	4	5	5	5
GO:0008955	55	56	46	68	74	68
GO:0008957	0	1	1	0	0	0
GO:0008959	5	4	2	6	11	8
GO:0008961	10	15	12	26	33	39
GO:0008962	11	10	7	18	10	15
GO:0008963	17	21	18	36	36	55
GO:0008964	6	5	4	4	1	2
GO:0008965	5	8	3	14	22	17
GO:0008966	16	9	15	31	43	65
GO:0008967	32	23	14	21	32	33
GO:0008968	8	9	6	13	17	16
GO:0008970	0	1	0	2	1	0
GO:0008972	8	11	4	17	11	11
GO:0008973	1	5	4	7	4	2
GO:0008974	2	2	4	4	1	1
GO:0008976	4	18	14	19	11	4
GO:0008977	10	10	10	21	22	36
GO:0008979	2	5	8	2	2	3
GO:0008982	9	12	11	8	5	11
GO:0008983	3	6	3	17	11	11
GO:0008984	2	6	9	22	10	10
GO:0008986	5	4	4	10	13	16
GO:0008987	7	15	8	16	23	37
GO:0008990	0	2	0	0	0	0
GO:0008993	0	1	0	2	4	6
GO:0008994	0	0	0	2	1	2
GO:0008995	3	4	1	6	4	4
GO:0008997	4	0	4	2	1	1
GO:0008998	0	2	1	5	15	16
GO:0008999	19	18	13	18	18	32
GO:0009000	2	4	4	7	6	4
GO:0009001	5	4	8	15	24	27
GO:0009002	61	61	53	111	86	100
GO:0009007	7	12	13	33	23	26
GO:0009008	0	0	1	0	0	0
GO:0009009	0	1	0	0	0	1
GO:0009010	0	1	0	1	1	4
GO:0009011	0	6	4	14	5	12
GO:0009012	0	0	0	1	1	1
GO:0009013	5	4	5	6	0	3
GO:0009014	8	9	9	7	10	12
GO:0009016	4	3	0	1	2	1
GO:0009019	0	0	0	2	4	9
GO:0009020	2	1	1	1	1	2
GO:0009022	13	14	7	13	12	22
GO:0009024	0	1	1	2	0	4
GO:0009025	0	1	1	3	9	10
GO:0009027	3	1	1	8	8	6
GO:0009028	0	0	1	1	3	2
GO:0009029	9	8	7	15	8	5
GO:0009030	7	11	5	18	26	34
GO:0009032	1	4	4	8	7	11
GO:0009034	4	5	4	9	6	6
GO:0009035	0	0	1	2	0	3
GO:0009036	0	1	7	14	5	4
GO:0009037	20	32	40	85	97	123
GO:0009039	2	3	0	2	1	3
GO:0009041	1	1	2	2	4	6
GO:0009042	4	1	2	1	1	1
GO:0009044	0	0	0	2	1	2
GO:0009045	0	2	2	5	10	15
GO:0009046	0	3	0	0	0	0
GO:0009051	3	7	6	15	15	11
GO:0009052	22	34	25	54	69	98
GO:0009055	342	382	316	694	788	880
GO:0009056	2	1	1	5	10	13
GO:0009058	67	73	51	101	130	150
GO:0009059	4	4	5	1	1	0
GO:0009060	48	54	54	95	66	44
GO:0009061	51	64	61	137	115	101
GO:0009062	4	4	4	5	4	4
GO:0009063	20	16	11	38	31	48
GO:0009064	1	0	0	0	3	1
GO:0009067	3	2	2	3	4	2
GO:0009069	1	0	1	0	1	2
GO:0009070	0	1	0	0	1	1
GO:0009072	2	2	2	3	3	0
GO:0009073	96	93	83	166	215	237
GO:0009074	0	2	1	0	0	0
GO:0009082	71	74	47	111	152	178
GO:0009083	11	28	25	37	26	24
GO:0009085	3	2	2	8	6	7
GO:0009086	112	112	64	155	144	174
GO:0009087	6	8	3	4	11	11
GO:0009088	77	85	66	137	169	225
GO:0009089	96	117	90	144	198	266
GO:0009090	11	4	6	14	19	27
GO:0009092	1	1	0	7	5	5
GO:0009094	17	15	12	19	35	32
GO:0009095	0	0	0	0	2	1
GO:0009097	177	157	131	252	335	412
GO:0009098	108	106	85	165	236	287
GO:0009099	117	106	90	160	219	240
GO:0009100	0	4	1	2	2	1
GO:0009102	71	61	48	74	59	68
GO:0009103	72	126	95	177	143	190
GO:0009106	0	0	0	1	0	0
GO:0009107	6	3	7	12	12	17
GO:0009113	27	29	28	59	56	62
GO:0009114	14	29	27	31	43	34
GO:0009115	5	2	4	0	1	0
GO:0009116	71	90	80	187	185	260
GO:0009117	45	40	34	51	67	76
GO:0009123	4	5	5	3	2	0
GO:0009132	14	14	13	8	12	14
GO:0009141	2	0	1	0	0	0
GO:0009142	0	2	0	0	0	0
GO:0009143	5	4	3	7	7	7
GO:0009146	12	10	9	19	24	31
GO:0009152	1	2	1	2	2	1
GO:0009154	0	0	1	2	0	0
GO:0009156	12	20	8	35	38	49
GO:0009159	0	0	1	2	6	7
GO:0009164	2	3	3	7	4	4
GO:0009165	13	13	5	27	27	38
GO:0009166	2	4	6	8	23	25
GO:0009168	3	3	4	5	9	9
GO:0009187	1	0	0	0	0	0
GO:0009190	24	23	13	13	11	7
GO:0009191	0	0	0	0	1	0
GO:0009214	0	2	0	4	13	7
GO:0009220	3	4	6	2	3	2
GO:0009222	0	0	0	0	1	1
GO:0009223	0	0	0	0	1	1
GO:0009225	4	5	2	7	7	11
GO:0009226	0	1	0	1	2	2
GO:0009228	69	73	54	142	155	223
GO:0009229	73	88	55	131	148	201
GO:0009231	66	86	63	100	130	174
GO:0009234	66	94	63	143	144	121
GO:0009235	1	2	1	2	4	2
GO:0009236	93	61	57	138	157	181
GO:0009239	3	0	1	1	1	2
GO:0009240	0	0	1	2	0	0
GO:0009242	4	11	4	9	9	13
GO:0009243	22	49	38	93	75	83
GO:0009244	35	57	35	79	53	60
GO:0009245	105	137	91	185	156	152
GO:0009246	7	12	8	11	12	27
GO:0009247	17	22	19	23	27	49
GO:0009249	30	36	29	62	70	101
GO:0009250	0	0	0	1	0	1
GO:0009251	0	0	0	1	1	0
GO:0009252	307	327	273	488	466	534
GO:0009253	30	28	38	53	40	39
GO:0009254	58	48	36	50	49	43
GO:0009255	0	0	0	1	1	1
GO:0009257	0	0	0	0	1	1
GO:0009258	1	2	1	1	1	2
GO:0009259	1	2	0	0	0	0
GO:0009260	0	0	0	1	0	1
GO:0009263	2	4	2	4	1	2
GO:0009264	6	14	14	23	18	27
GO:0009266	2	5	3	2	1	0
GO:0009267	11	8	3	13	14	16
GO:0009268	7	3	0	7	4	3
GO:0009269	1	1	3	4	1	1
GO:0009271	1	0	0	1	0	0
GO:0009273	9	8	10	12	11	12
GO:0009274	5	3	1	6	5	3
GO:0009276	17	19	15	20	15	17
GO:0009277	0	0	0	0	0	1
GO:0009279	164	180	182	267	164	168
GO:0009288	4	5	5	11	3	6
GO:0009289	9	8	9	20	9	9
GO:0009290	7	2	1	4	3	1
GO:0009294	7	13	11	20	23	28
GO:0009295	19	18	23	35	37	57
GO:0009297	14	18	13	41	39	42
GO:0009298	16	27	23	40	40	50
GO:0009303	0	0	0	0	0	1
GO:0009305	9	8	9	20	23	29
GO:0009306	59	73	55	109	75	90
GO:0009307	2	19	22	65	46	48
GO:0009308	4	2	3	0	0	0
GO:0009310	2	1	1	1	0	0
GO:0009311	0	0	1	3	8	3
GO:0009313	0	0	3	3	8	12
GO:0009314	26	16	22	29	18	13
GO:0009316	15	12	8	10	6	1
GO:0009317	23	28	23	39	35	41
GO:0009318	19	17	20	38	39	43
GO:0009319	2	2	2	3	0	0
GO:0009321	0	0	0	0	0	1
GO:0009323	4	2	0	1	1	2
GO:0009325	4	12	9	11	6	6
GO:0009326	14	18	17	56	88	112
GO:0009328	1	2	1	3	2	6
GO:0009330	8	4	7	16	8	8
GO:0009331	16	18	16	35	31	41
GO:0009337	5	2	5	3	3	0
GO:0009338	2	4	4	21	17	11
GO:0009339	6	14	13	31	38	50
GO:0009340	8	4	5	4	0	0
GO:0009341	0	0	0	6	10	12
GO:0009346	8	3	5	8	12	12
GO:0009347	1	2	1	6	3	6
GO:0009349	9	15	11	16	22	32
GO:0009350	0	0	0	0	1	1
GO:0009353	0	0	0	0	1	1
GO:0009355	0	1	1	0	0	2
GO:0009358	1	8	7	9	6	2
GO:0009360	39	41	32	71	68	96
GO:0009361	12	11	9	27	24	31
GO:0009365	1	0	1	1	2	0
GO:0009366	2	0	1	0	0	0
GO:0009368	0	0	0	5	2	3
GO:0009372	10	9	17	20	10	12
GO:0009374	5	7	5	7	0	4
GO:0009375	0	1	1	2	24	44
GO:0009376	20	18	16	30	24	28
GO:0009378	31	27	26	50	48	65
GO:0009379	12	10	12	13	13	25
GO:0009380	34	37	27	65	64	94
GO:0009381	34	37	27	65	64	94
GO:0009383	9	10	6	17	10	9
GO:0009384	0	1	0	0	0	1
GO:0009385	0	0	0	0	0	1
GO:0009389	1	3	2	7	16	29
GO:0009390	1	2	1	7	11	26
GO:0009392	3	4	2	2	1	1
GO:0009395	12	6	7	14	8	14
GO:0009396	11	16	15	25	19	32
GO:0009398	13	15	11	21	22	33
GO:0009399	102	118	81	156	120	124
GO:0009401	21	28	21	47	62	61
GO:0009403	10	7	7	4	4	7
GO:0009404	1	1	2	2	0	0
GO:0009405	145	180	146	270	217	266
GO:0009407	8	5	1	0	0	0
GO:0009408	53	60	45	91	80	92
GO:0009409	14	15	15	26	33	39
GO:0009410	2	2	1	3	5	3
GO:0009411	2	4	5	5	3	3
GO:0009414	3	2	4	6	4	4
GO:0009415	2	1	1	3	5	3
GO:0009416	20	11	14	13	8	15
GO:0009421	0	1	0	2	3	3
GO:0009423	93	93	78	146	189	204
GO:0009424	5	8	3	16	10	9
GO:0009425	23	26	24	48	31	30
GO:0009426	4	0	3	9	3	4
GO:0009427	2	1	0	3	1	1
GO:0009428	3	3	2	3	4	2
GO:0009431	2	3	1	4	4	4
GO:0009432	132	126	107	211	198	261
GO:0009435	44	61	56	102	123	171
GO:0009436	11	16	12	23	18	20
GO:0009437	23	19	7	14	7	15
GO:0009438	1	0	0	1	2	2
GO:0009439	0	2	0	0	0	0
GO:0009442	3	6	2	3	2	1
GO:0009443	2	0	0	1	1	1
GO:0009446	1	5	3	10	2	5
GO:0009447	38	30	25	28	16	21
GO:0009448	12	11	8	9	6	8
GO:0009450	17	16	17	21	17	19
GO:0009451	6	6	6	2	2	0
GO:0009454	0	1	2	2	0	1
GO:0009486	4	3	4	8	7	0
GO:0009496	3	14	16	35	23	13
GO:0009501	1	1	0	1	1	1
GO:0009505	0	3	2	1	2	2
GO:0009506	9	8	8	13	15	15
GO:0009507	147	151	120	232	244	265
GO:0009508	0	0	0	0	1	0
GO:0009509	0	1	0	1	1	5
GO:0009513	1	1	0	4	0	2
GO:0009514	0	2	1	1	0	0
GO:0009522	0	0	0	1	0	0
GO:0009523	1	0	0	0	0	0
GO:0009524	0	0	0	1	0	0
GO:0009526	0	0	2	2	1	0
GO:0009532	2	3	5	6	3	1
GO:0009534	12	9	9	16	15	18
GO:0009535	35	26	33	62	52	67
GO:0009536	30	24	35	50	51	51
GO:0009543	8	4	5	10	5	1
GO:0009553	0	0	0	0	1	1
GO:0009555	8	9	6	3	6	5
GO:0009567	0	2	1	1	3	2
GO:0009570	53	47	46	89	75	63
GO:0009575	1	0	0	0	0	0
GO:0009578	0	0	0	1	0	0
GO:0009579	10	6	8	14	14	19
GO:0009584	8	11	8	15	18	32
GO:0009585	5	9	3	9	6	13
GO:0009593	1	0	0	1	1	0
GO:0009610	1	1	0	0	1	0
GO:0009611	7	5	6	8	8	8
GO:0009612	0	1	0	2	0	1
GO:0009615	0	0	0	4	0	2
GO:0009617	1	6	5	7	1	1
GO:0009620	0	0	1	3	0	3
GO:0009624	1	0	1	2	2	2
GO:0009626	1	3	0	0	0	2
GO:0009627	3	5	0	0	1	2
GO:0009630	4	1	3	5	5	5
GO:0009631	2	3	1	4	2	1
GO:0009635	9	4	5	6	7	6
GO:0009636	61	62	38	49	50	68
GO:0009637	1	0	1	1	0	0
GO:0009639	0	2	1	4	1	1
GO:0009640	0	2	0	3	3	2
GO:0009641	0	0	0	1	1	0
GO:0009644	5	5	5	3	3	2
GO:0009646	0	0	0	1	3	4
GO:0009649	0	1	0	1	1	2
GO:0009650	0	0	0	1	0	0
GO:0009651	6	7	7	13	7	12
GO:0009653	0	0	0	0	0	1
GO:0009657	0	1	1	1	0	1
GO:0009658	8	4	5	8	9	11
GO:0009660	0	0	0	0	0	1
GO:0009662	0	0	0	0	2	9
GO:0009673	0	1	0	3	0	0
GO:0009678	11	13	13	26	30	39
GO:0009682	0	0	1	0	0	0
GO:0009684	1	2	3	0	0	0
