	F01	F02	F03	F04	F05	F06
GO:0000731	2	1	0	1	1	6
GO:0000732	0	0	0	0	0	1
GO:0000737	1	0	0	1	1	0
GO:0000738	5	0	2	6	8	13
GO:0000746	7	11	11	14	9	15
GO:0000750	0	0	0	0	0	1
GO:0000774	15	11	15	28	24	40
GO:0000775	0	0	0	1	0	1
GO:0000776	4	4	5	1	1	2
GO:0000777	4	4	5	1	1	2
GO:0000781	1	1	2	6	5	6
GO:0000785	2	0	0	4	8	3
GO:0000786	1	0	0	1	0	0
GO:0000791	0	1	0	0	0	0
GO:0000792	0	0	1	0	0	0
GO:0000794	0	0	0	3	0	0
GO:0000803	0	0	0	0	0	1
GO:0000812	0	0	0	0	0	1
GO:0000814	0	0	0	0	1	0
GO:0000819	0	0	0	0	0	1
GO:0000820	7	11	4	10	6	3
GO:0000821	0	0	1	0	1	0
GO:0000837	0	0	0	1	0	0
GO:0000839	0	0	0	1	0	0
GO:0000902	32	33	20	66	61	74
GO:0000905	1	1	1	1	4	4
GO:0000906	9	15	11	15	21	29
GO:0000907	5	2	0	0	0	0
GO:0000908	11	4	0	0	0	0
GO:0000917	59	52	54	91	81	122
GO:0000920	23	16	17	27	26	27
GO:0000921	3	4	3	1	1	3
GO:0000922	0	1	2	1	0	1
GO:0000932	1	0	0	2	3	4
GO:0000935	3	3	2	1	0	1
GO:0000947	1	0	0	1	1	0
GO:0000956	0	0	0	1	0	0
GO:0000967	10	10	12	18	22	26
GO:0000971	3	0	3	11	8	11
GO:0000973	1	0	0	1	0	0
GO:0000974	0	0	0	1	0	0
GO:0000976	115	142	128	244	221	277
GO:0000978	2	2	1	1	1	1
GO:0000981	0	2	0	0	0	0
GO:0000984	4	3	3	2	2	2
GO:0000986	8	9	10	12	8	16
GO:0000987	1	0	0	1	2	1
GO:0000993	0	0	0	2	0	1
GO:0001046	2	4	1	7	10	10
GO:0001054	0	0	1	2	4	3
GO:0001055	0	0	1	2	4	3
GO:0001056	0	0	1	2	4	3
GO:0001072	0	0	1	4	8	11
GO:0001073	0	1	1	1	0	1
GO:0001102	0	0	1	1	0	0
GO:0001103	3	0	0	1	2	0
GO:0001108	0	1	1	2	1	1
GO:0001113	0	0	0	0	0	1
GO:0001123	17	29	31	47	53	69
GO:0001216	61	81	75	147	135	153
GO:0001217	26	20	15	38	37	49
GO:0001226	0	0	0	0	1	1
GO:0001228	1	1	1	1	0	0
GO:0001401	0	0	0	0	1	0
GO:0001405	0	0	0	1	0	0
GO:0001406	0	0	0	0	0	1
GO:0001407	9	9	6	10	9	7
GO:0001501	0	0	1	1	0	1
GO:0001502	0	0	0	0	1	2
GO:0001503	1	6	2	9	5	9
GO:0001510	18	15	9	27	25	17
GO:0001514	8	18	9	32	45	41
GO:0001516	0	0	1	2	0	2
GO:0001519	1	1	0	2	1	0
GO:0001522	17	17	17	28	29	22
GO:0001523	1	1	0	0	3	0
GO:0001525	1	2	0	6	2	1
GO:0001530	2	2	1	0	0	0
GO:0001540	1	1	1	1	1	0
GO:0001541	0	0	0	3	0	0
GO:0001555	0	0	0	0	1	0
GO:0001556	0	0	0	1	0	0
GO:0001558	0	0	0	0	0	1
GO:0001561	9	6	2	4	4	5
GO:0001567	0	0	0	1	0	0
GO:0001568	0	0	0	0	1	1
GO:0001618	2	2	1	2	4	2
GO:0001649	0	2	2	0	0	0
GO:0001650	0	1	1	3	1	0
GO:0001653	0	4	1	1	2	2
GO:0001654	1	1	2	1	0	2
GO:0001656	0	0	1	0	0	0
GO:0001658	0	0	0	0	1	0
GO:0001659	3	2	2	3	0	2
GO:0001662	1	2	0	1	2	1
GO:0001664	2	2	1	0	1	1
GO:0001666	4	8	5	9	4	4
GO:0001667	4	5	5	1	0	0
GO:0001669	3	1	2	7	10	5
GO:0001671	2	5	2	0	1	1
GO:0001675	0	0	0	0	0	2
GO:0001676	3	4	1	6	1	0
GO:0001680	6	5	3	14	9	12
GO:0001681	0	0	0	1	0	1
GO:0001682	10	9	9	20	35	65
GO:0001701	2	4	3	4	3	3
GO:0001702	0	2	1	0	0	1
GO:0001706	1	0	0	0	0	1
GO:0001707	0	0	0	1	0	0
GO:0001708	0	0	0	1	0	1
GO:0001716	1	0	2	2	0	1
GO:0001726	0	0	1	1	0	0
GO:0001727	1	3	3	7	16	15
GO:0001731	3	0	0	6	4	11
GO:0001732	0	0	0	1	0	0
GO:0001745	1	0	0	0	0	0
GO:0001750	5	2	2	2	5	5
GO:0001758	1	0	0	0	2	1
GO:0001760	32	19	3	14	17	21
GO:0001764	4	0	0	2	2	5
GO:0001765	0	0	1	1	0	1
GO:0001772	0	0	0	2	0	0
GO:0001784	0	0	0	0	1	1
GO:0001817	0	0	0	0	1	0
GO:0001819	0	4	0	1	1	1
GO:0001822	2	6	3	6	6	4
GO:0001836	7	5	4	2	5	3
GO:0001837	0	0	1	0	0	0
GO:0001843	3	0	0	2	4	3
GO:0001851	0	1	1	2	3	0
GO:0001882	0	4	5	12	3	4
GO:0001883	0	0	0	0	1	0
GO:0001885	0	1	0	0	4	2
GO:0001886	0	0	0	1	0	0
GO:0001887	2	0	0	3	0	3
GO:0001889	1	1	2	4	4	6
GO:0001890	0	0	0	0	1	2
GO:0001892	0	0	0	0	1	2
GO:0001893	0	0	0	0	1	0
GO:0001895	0	0	0	2	1	2
GO:0001896	1	1	1	2	4	4
GO:0001913	0	0	0	0	1	2
GO:0001917	9	4	2	4	3	0
GO:0001921	0	0	0	1	0	0
GO:0001931	0	0	1	1	0	1
GO:0001932	1	2	1	1	2	1
GO:0001933	0	2	0	1	0	0
GO:0001934	1	0	1	0	0	0
GO:0001937	0	2	0	0	0	0
GO:0001941	1	0	0	0	0	0
GO:0001942	0	0	0	0	0	2
GO:0001947	0	0	0	1	1	0
GO:0001951	0	0	1	0	0	0
GO:0001958	0	0	0	0	0	1
GO:0001961	0	2	0	1	0	0
GO:0001964	0	0	0	0	0	1
GO:0001967	2	0	0	0	0	0
GO:0001968	0	0	0	2	2	2
GO:0001972	0	0	0	2	0	0
GO:0001975	2	2	0	1	3	1
GO:0002003	0	0	0	0	1	0
GO:0002009	0	0	0	1	0	0
GO:0002020	0	1	1	2	6	4
GO:0002024	0	1	0	2	0	1
GO:0002027	2	1	0	1	3	1
GO:0002039	0	0	0	2	0	0
GO:0002042	0	0	0	3	1	0
GO:0002047	0	0	1	1	2	0
GO:0002049	11	11	11	8	8	3
GO:0002055	1	0	0	1	0	2
GO:0002057	0	0	0	0	1	0
GO:0002058	1	2	2	8	8	9
GO:0002059	0	0	0	0	1	0
GO:0002060	0	0	0	0	1	0
GO:0002062	0	0	0	3	1	0
GO:0002070	0	1	0	0	0	0
GO:0002080	0	0	2	3	1	0
GO:0002081	0	0	0	1	0	0
GO:0002082	0	0	0	0	1	1
GO:0002083	9	9	7	6	6	2
GO:0002084	6	6	4	9	3	3
GO:0002087	2	0	0	0	0	0
GO:0002088	0	0	0	1	0	0
GO:0002090	0	0	1	2	2	0
GO:0002094	4	3	1	5	7	9
GO:0002098	18	20	15	34	36	46
GO:0002099	0	0	0	2	2	6
GO:0002100	11	6	9	18	14	11
GO:0002101	1	0	1	3	3	8
GO:0002119	0	0	0	1	0	1
GO:0002121	0	0	0	2	0	0
GO:0002128	2	0	1	5	4	8
GO:0002133	0	0	0	0	1	2
GO:0002134	10	6	5	4	11	19
GO:0002143	8	5	3	13	6	13
GO:0002144	2	0	0	3	2	8
GO:0002145	0	1	0	0	1	1
GO:0002161	46	55	58	102	132	154
GO:0002169	2	0	1	1	0	1
GO:0002181	8	7	8	23	33	51
GO:0002183	0	0	0	0	0	1
GO:0002184	0	1	0	1	0	0
GO:0002188	3	0	0	5	4	10
GO:0002189	0	4	1	5	7	8
GO:0002196	0	0	0	0	1	0
GO:0002213	0	2	0	1	0	1
GO:0002229	1	1	0	0	0	0
GO:0002244	0	1	0	2	1	1
GO:0002250	1	0	0	1	1	0
GO:0002253	0	0	0	0	0	1
GO:0002276	0	0	0	0	0	1
GO:0002283	0	0	0	1	1	0
GO:0002357	0	0	0	0	1	0
GO:0002376	0	1	0	1	0	0
GO:0002430	0	0	0	3	1	0
GO:0002446	0	0	0	0	1	0
GO:0002448	0	1	0	0	0	0
GO:0002526	0	0	0	1	0	0
GO:0002536	0	0	0	0	1	0
GO:0002539	0	0	2	0	2	1
GO:0002576	2	0	1	3	0	3
GO:0002639	0	0	0	2	0	3
GO:0002673	0	0	0	1	1	0
GO:0002682	0	0	0	1	0	1
GO:0002758	3	6	3	3	2	1
GO:0002760	1	0	1	1	6	3
GO:0002814	0	0	1	2	1	1
GO:0002862	0	0	0	2	4	3
GO:0002866	0	0	0	0	1	0
GO:0002926	2	0	1	5	5	9
GO:0002931	1	2	0	0	0	0
GO:0002935	6	15	8	15	9	11
GO:0002937	0	0	1	1	4	7
GO:0002938	2	1	1	1	1	2
GO:0002939	1	3	1	3	2	1
GO:0002948	0	0	0	1	0	0
GO:0002949	46	39	35	75	96	145
GO:0002953	1	0	5	13	5	5
GO:0003007	0	0	0	1	1	0
GO:0003012	1	1	1	0	0	0
GO:0003014	0	0	1	0	0	0
GO:0003016	0	1	1	0	0	0
GO:0003051	0	0	0	2	1	0
GO:0003081	0	1	2	5	3	1
GO:0003084	0	1	2	1	2	0
GO:0003085	3	0	0	0	1	0
GO:0003091	0	0	0	1	2	1
GO:0003170	1	1	1	1	0	0
GO:0003180	0	0	1	0	0	0
GO:0003247	0	0	0	1	2	1
GO:0003279	1	1	1	1	0	0
GO:0003281	1	1	1	1	0	0
GO:0003300	0	0	0	1	0	0
GO:0003323	1	0	0	1	1	0
GO:0003333	1	2	0	3	3	1
GO:0003341	0	0	0	2	0	0
GO:0003344	0	0	0	1	0	0
GO:0003351	0	0	0	1	1	0
GO:0003360	2	4	0	1	2	2
GO:0003400	0	0	0	0	1	0
GO:0003676	187	206	171	347	347	478
GO:0003677	1237	1615	1498	3001	2803	3452
GO:0003678	78	61	74	162	141	208
GO:0003681	2	2	2	3	3	4
GO:0003682	5	9	4	8	6	7
GO:0003684	73	84	63	139	151	204
GO:0003688	15	13	15	30	37	52
GO:0003689	1	1	2	6	8	11
GO:0003690	21	23	21	38	35	43
GO:0003697	49	52	57	109	93	142
GO:0003700	326	331	265	569	516	631
GO:0003713	1	1	0	0	4	1
GO:0003714	4	4	2	2	6	5
GO:0003720	0	0	0	1	0	0
GO:0003723	314	340	293	656	726	926
GO:0003724	26	18	20	52	41	45
GO:0003725	20	16	15	29	47	68
GO:0003727	13	10	9	14	17	20
GO:0003729	35	48	41	82	84	96
GO:0003730	22	19	13	19	14	6
GO:0003735	553	670	566	1256	1480	2120
GO:0003743	48	33	45	91	120	163
GO:0003746	66	77	70	159	191	249
GO:0003747	3	5	2	9	9	13
GO:0003755	66	58	54	109	88	134
GO:0003756	0	2	1	8	9	10
GO:0003774	15	16	12	33	19	18
GO:0003779	0	1	2	2	3	3
GO:0003796	2	2	3	9	5	4
GO:0003810	5	5	2	2	1	2
GO:0003823	0	1	0	0	0	0
GO:0003824	116	146	132	239	294	365
GO:0003825	8	6	5	8	10	19
GO:0003826	1	1	7	10	4	1
GO:0003837	2	2	1	1	0	2
GO:0003838	3	2	1	5	2	7
GO:0003839	13	14	5	4	5	3
GO:0003841	17	31	21	33	38	39
GO:0003842	14	13	7	16	8	9
GO:0003844	1	3	2	5	5	5
GO:0003847	1	2	2	1	0	0
GO:0003848	14	10	11	18	23	34
GO:0003849	17	20	15	31	36	32
GO:0003852	23	22	20	36	62	77
GO:0003853	0	1	0	1	0	1
GO:0003854	7	5	7	11	7	10
GO:0003855	13	9	8	19	27	28
GO:0003856	13	21	10	24	29	37
GO:0003857	23	24	25	34	28	25
GO:0003858	14	9	6	6	3	2
GO:0003859	1	2	2	1	3	7
